onset,terminus,tail,head ,onset.censored,terminus.censored,duration,edge.id
696,750,8,48,FALSE,FALSE,54,1
475,642,15,8,FALSE,FALSE,167,2
642,820,48,8,FALSE,FALSE,178,3
650,651,50,8,FALSE,FALSE,1,4
700,701,8,15,FALSE,FALSE,1,5
485,486,60,8,FALSE,FALSE,1,6
799,800,60,8,FALSE,FALSE,1,7
642,643,67,8,FALSE,FALSE,1,8
799,800,79,8,FALSE,FALSE,1,9
435,436,85,60,FALSE,FALSE,1,10
486,527,2,60,FALSE,FALSE,41,11
695,696,5,60,FALSE,FALSE,1,12
695,700,14,60,FALSE,FALSE,5,13
771,772,16,60,FALSE,FALSE,1,14
411,412,18,60,FALSE,FALSE,1,15
743,744,21,60,FALSE,FALSE,1,16
414,415,24,60,FALSE,FALSE,1,17
748,749,25,60,FALSE,FALSE,1,18
396,397,26,60,FALSE,FALSE,1,19
537,538,28,60,FALSE,FALSE,1,20
697,698,32,60,FALSE,FALSE,1,21
396,397,33,60,FALSE,FALSE,1,22
748,749,38,60,FALSE,FALSE,1,23
700,701,39,60,FALSE,FALSE,1,24
379,396,41,60,FALSE,FALSE,17,25
486,703,44,60,FALSE,FALSE,217,26
734,744,46,60,FALSE,FALSE,10,27
744,745,47,60,FALSE,FALSE,1,28
488,748,48,60,FALSE,FALSE,260,29
377,378,49,60,FALSE,FALSE,1,30
695,696,51,60,FALSE,FALSE,1,31
744,745,58,60,FALSE,FALSE,1,32
691,692,62,60,FALSE,FALSE,1,33
744,745,63,60,FALSE,FALSE,1,34
415,416,68,60,FALSE,FALSE,1,35
378,869,72,60,FALSE,FALSE,491,36
378,379,73,60,FALSE,FALSE,1,37
537,538,75,60,FALSE,FALSE,1,38
743,744,79,60,FALSE,FALSE,1,39
451,452,80,60,FALSE,FALSE,1,40
734,746,82,60,FALSE,FALSE,12,41
799,800,84,48,FALSE,FALSE,1,42
714,780,85,48,FALSE,FALSE,66,43
726,727,3,48,FALSE,FALSE,1,44
726,727,6,48,FALSE,FALSE,1,45
725,726,7,48,FALSE,FALSE,1,46
693,775,10,48,FALSE,FALSE,82,47
593,594,11,48,FALSE,FALSE,1,48
696,726,12,48,FALSE,FALSE,30,49
546,693,14,48,FALSE,FALSE,147,50
588,589,15,48,FALSE,FALSE,1,51
713,714,17,48,FALSE,FALSE,1,52
258,780,19,48,FALSE,FALSE,522,53
714,715,22,48,FALSE,FALSE,1,54
714,780,23,48,FALSE,FALSE,66,55
799,800,27,48,FALSE,FALSE,1,56
258,259,29,48,FALSE,FALSE,1,57
682,683,30,48,FALSE,FALSE,1,58
682,683,31,48,FALSE,FALSE,1,59
695,696,35,48,FALSE,FALSE,1,60
726,727,36,48,FALSE,FALSE,1,61
693,702,38,48,FALSE,FALSE,9,62
596,597,40,48,FALSE,FALSE,1,63
799,800,42,48,FALSE,FALSE,1,64
682,683,45,48,FALSE,FALSE,1,65
820,821,51,48,FALSE,FALSE,1,66
682,683,53,48,FALSE,FALSE,1,67
799,800,54,48,FALSE,FALSE,1,68
711,714,55,48,FALSE,FALSE,3,69
799,800,56,48,FALSE,FALSE,1,70
800,801,57,48,FALSE,FALSE,1,71
682,683,59,48,FALSE,FALSE,1,72
771,772,61,48,FALSE,FALSE,1,73
693,780,63,48,FALSE,FALSE,87,74
682,683,66,48,FALSE,FALSE,1,75
698,820,67,48,FALSE,FALSE,122,76
682,683,69,48,FALSE,FALSE,1,77
699,700,70,48,FALSE,FALSE,1,78
780,781,71,48,FALSE,FALSE,1,79
697,698,74,48,FALSE,FALSE,1,80
682,683,77,48,FALSE,FALSE,1,81
682,683,78,48,FALSE,FALSE,1,82
710,800,79,48,FALSE,FALSE,90,83
726,727,81,48,FALSE,FALSE,1,84
706,713,83,48,FALSE,FALSE,7,85
562,849,14,15,FALSE,FALSE,287,86
534,535,20,15,FALSE,FALSE,1,87
800,801,10,15,FALSE,FALSE,1,88
566,567,34,15,FALSE,FALSE,1,89
626,627,40,15,FALSE,FALSE,1,90
822,823,43,15,FALSE,FALSE,1,91
626,680,48,15,FALSE,FALSE,54,92
627,628,65,15,FALSE,FALSE,1,93
800,819,67,15,FALSE,FALSE,19,94
534,535,75,15,FALSE,FALSE,1,95
566,622,79,15,FALSE,FALSE,56,96
