onset,terminus,tail,head ,onset.censored,terminus.censored,duration,edge.id
485,486,12,2,FALSE,FALSE,1,1
650,651,9,2,FALSE,FALSE,1,2
642,643,2,11,FALSE,FALSE,1,3
799,800,14,2,FALSE,FALSE,1,4
799,800,12,2,FALSE,FALSE,1,5
475,650,2,7,FALSE,FALSE,175,6
810,811,24,7,FALSE,FALSE,1,7
450,800,27,7,FALSE,FALSE,350,8
500,600,2,7,FALSE,FALSE,100,9
532,849,6,7,FALSE,FALSE,317,10
534,535,34,7,FALSE,FALSE,1,11
850,851,50,7,FALSE,FALSE,1,12
637,638,52,7,FALSE,FALSE,1,13
682,683,58,7,FALSE,FALSE,1,14
830,831,63,7,FALSE,FALSE,1,15
633,682,8,7,FALSE,FALSE,49,16
600,700,2,7,FALSE,FALSE,100,17
637,638,91,7,FALSE,FALSE,1,18
800,830,11,7,FALSE,FALSE,30,19
633,634,93,7,FALSE,FALSE,1,20
534,535,102,7,FALSE,FALSE,1,21
692,693,2,7,FALSE,FALSE,1,22
637,810,14,7,FALSE,FALSE,173,23
800,801,15,8,FALSE,FALSE,1,24
495,496,16,8,FALSE,FALSE,1,25
714,780,17,8,FALSE,FALSE,66,26
726,727,22,8,FALSE,FALSE,1,27
755,820,2,8,FALSE,FALSE,65,28
726,727,26,8,FALSE,FALSE,1,29
642,820,2,8,FALSE,FALSE,178,30
702,780,27,8,FALSE,FALSE,78,31
596,597,28,8,FALSE,FALSE,1,32
750,751,2,8,FALSE,FALSE,1,33
598,726,6,8,FALSE,FALSE,128,34
600,700,2,8,FALSE,FALSE,100,35
642,643,7,8,FALSE,FALSE,1,36
713,714,31,8,FALSE,FALSE,1,37
596,706,33,8,FALSE,FALSE,110,38
719,720,36,8,FALSE,FALSE,1,39
714,780,37,8,FALSE,FALSE,66,40
800,801,41,8,FALSE,FALSE,1,41
596,597,44,8,FALSE,FALSE,1,42
714,715,46,8,FALSE,FALSE,1,43
714,715,47,8,FALSE,FALSE,1,44
702,703,53,8,FALSE,FALSE,1,45
726,727,54,8,FALSE,FALSE,1,46
702,703,56,8,FALSE,FALSE,1,47
596,597,58,8,FALSE,FALSE,1,48
702,726,59,8,FALSE,FALSE,24,49
800,801,62,8,FALSE,FALSE,1,50
714,715,67,8,FALSE,FALSE,1,51
495,726,72,8,FALSE,FALSE,231,52
702,714,74,8,FALSE,FALSE,12,53
800,801,75,8,FALSE,FALSE,1,54
711,714,76,8,FALSE,FALSE,3,55
800,801,77,8,FALSE,FALSE,1,56
800,801,80,8,FALSE,FALSE,1,57
810,811,82,8,FALSE,FALSE,1,58
714,715,84,8,FALSE,FALSE,1,59
702,703,86,8,FALSE,FALSE,1,60
714,715,92,8,FALSE,FALSE,1,61
702,713,11,8,FALSE,FALSE,11,62
700,701,95,8,FALSE,FALSE,1,63
700,701,96,8,FALSE,FALSE,1,64
702,714,97,8,FALSE,FALSE,12,65
