onset,terminus,vertex.id,onset.censored,terminus.censored,duration
0,0,1,FALSE,FALSE,0
486,527,2,FALSE,FALSE,41
726,727,3,FALSE,FALSE,1
475,820,4,FALSE,FALSE,345
695,696,5,FALSE,FALSE,1
726,727,6,FALSE,FALSE,1
725,726,7,FALSE,FALSE,1
475,820,8,FALSE,FALSE,345
692,693,9,FALSE,FALSE,1
693,801,10,FALSE,FALSE,108
593,594,11,FALSE,FALSE,1
696,750,12,FALSE,FALSE,54
600,700,13,FALSE,FALSE,100
546,849,14,FALSE,FALSE,303
475,849,15,FALSE,FALSE,374
771,772,16,FALSE,FALSE,1
713,714,17,FALSE,FALSE,1
411,412,18,FALSE,FALSE,1
258,780,19,FALSE,FALSE,522
534,535,20,FALSE,FALSE,1
743,744,21,FALSE,FALSE,1
714,715,22,FALSE,FALSE,1
714,780,23,FALSE,FALSE,66
414,415,24,FALSE,FALSE,1
748,749,25,FALSE,FALSE,1
396,397,26,FALSE,FALSE,1
799,800,27,FALSE,FALSE,1
537,538,28,FALSE,FALSE,1
258,259,29,FALSE,FALSE,1
682,683,30,FALSE,FALSE,1
682,683,31,FALSE,FALSE,1
697,698,32,FALSE,FALSE,1
396,397,33,FALSE,FALSE,1
566,567,34,FALSE,FALSE,1
695,696,35,FALSE,FALSE,1
726,727,36,FALSE,FALSE,1
0,0,37,FALSE,FALSE,0
693,749,38,FALSE,FALSE,56
700,701,39,FALSE,FALSE,1
596,627,40,FALSE,FALSE,30
379,396,41,FALSE,FALSE,17
799,800,42,FALSE,FALSE,1
822,823,43,FALSE,FALSE,1
486,703,44,FALSE,FALSE,217
682,683,45,FALSE,FALSE,1
734,744,46,FALSE,FALSE,10
744,745,47,FALSE,FALSE,1
258,821,48,FALSE,FALSE,562
377,378,49,FALSE,FALSE,1
650,651,50,FALSE,FALSE,1
695,821,51,FALSE,FALSE,126
485,700,52,FALSE,FALSE,215
682,683,53,FALSE,FALSE,1
799,800,54,FALSE,FALSE,1
711,714,55,FALSE,FALSE,3
799,800,56,FALSE,FALSE,1
800,801,57,FALSE,FALSE,1
744,745,58,FALSE,FALSE,1
682,683,59,FALSE,FALSE,1
377,869,60,FALSE,FALSE,492
771,772,61,FALSE,FALSE,1
691,692,62,FALSE,FALSE,1
693,780,63,FALSE,FALSE,87
0,0,64,FALSE,FALSE,0
627,628,65,FALSE,FALSE,1
682,683,66,FALSE,FALSE,1
642,820,67,FALSE,FALSE,178
415,416,68,FALSE,FALSE,1
682,683,69,FALSE,FALSE,1
699,700,70,FALSE,FALSE,1
780,781,71,FALSE,FALSE,1
378,869,72,FALSE,FALSE,491
378,379,73,FALSE,FALSE,1
697,698,74,FALSE,FALSE,1
534,538,75,FALSE,FALSE,3
642,643,76,FALSE,FALSE,1
682,683,77,FALSE,FALSE,1
682,683,78,FALSE,FALSE,1
566,800,79,FALSE,FALSE,234
451,452,80,FALSE,FALSE,1
726,727,81,FALSE,FALSE,1
734,746,82,FALSE,FALSE,12
706,713,83,FALSE,FALSE,7
799,800,84,FALSE,FALSE,1
435,780,85,FALSE,FALSE,345
