vertex.id,name,region
1,Actuncan,Belize Valley
2,Aguacatal/Huacutal,Campeche
3,Altun Ha,Northern Belize
4,Baking Pot,Belize Valley
5,Balu'n ??,Unknown
6,Balu'n Miin? K'ahk' ?? Och Ch'e'n?,Unknown
7,Balu'n Pahn?,Unknown
8,Belize Valley,Belize Valley
9,Benque Cave,Belize Valley
10,Bital,Unknown
11,Bubul Pa',Unknown
12,Buenavista,Belize Valley
13,Cahal Pech,Belize Valley
14,Calakmul,Peten
15,Caracol,Central Belize
16,Cha' Chih? K'Awiil,Unknown
17,Chan Le'm?,Unknown
18,Chuwaajnal?,Unknown
19,Chuwaajnib?,Unknown
20,Copan,Honduras
21,El Peru,Peten
22,El Zotz,Peten
23,Ho' ??,Unknown
24,Ho' ?? Witz,Unknown
25,Holmul,Peten
26,Huk Ihk' K'anal,Unknown
27,Hux K'awil,Unknown
28,Huxlaju'nte',Unknown
29,Ich Puy  ,Unknown
30,Ju'n K'ahk',Unknown
31,Ju'n Tobij?,Unknown
32,Jut' ajaw,Unknown
33,K'ahk' Witz,Unknown
34,K'an Tok,Unknown
35,K'an T'uul,Unknown
36,K'an/K'ahn Kab,Unknown
37,K'ante realm 'sky city'?,Unknown
38,K'inichil Kab,Unknown
39,Koba',Northern Lowlands
40,Kok? Cha',Unknown
41,Kuku'l,Unknown
42,Mahkaal,Unknown
43,Makalte' ,Unknown
44,Masuul,Unknown
45,Mo' To'k',Unknown
46,Mook? Sak Lakal,Unknown
47,Naah Ho' Chan,Unknown
48,Naranjo,Peten
49,Nikte' Witznal,Unknown
50,Nim Li Punit,Southern Belize
51,Nu'n? Hixnal,Unknown
52,Pacbitun,Belize Valley
53,Pek,Unknown
54,Sak ??,Unknown
55,Sak Ha',Unknown
56,Sak Kab,Unknown
57,Sakte'l,Unknown
58,Small Snake,Unknown
59,Ti'? Ha',Unknown
60,Tikal,Peten
61,Ti'Pa,Unknown
62,Topoxte,Peten
63,Tuubal,Unknown
64,Tuunal,Unknown
65,Tzam,Unknown
66,Tz'obon Witzaj,Unknown
67,Ucanal,Peten
68,Wak ??-nal?,Unknown
69,Wak Ihk' ??-nal,Unknown
70,Wa'l Ch'ak,Unknown
71,Waxak ??,Unknown
72,Winte' Naah,Unknown
73,Winte' Naahnal,Unknown
74,Witzna,Peten
75,Xultun,Peten
76,Xunantunich,Belize Valley
77,Yax Chihil,Unknown
78,Yax Ik'al,Unknown
79,Yaxha ,Peten
80,Yaxk'in ??,Unknown
81,Yobe'? ,Unknown
82,Yok Man  ,Unknown
83,Yomootz/Yopmootz?,Unknown
84,?? Ha' ,Unknown
85,??-nal,Unknown
