vertex.id,name,region
1,Actuncan,Belize Valley
2,Belize Valley,Belize Valley
3,Benque Cave,Belize Valley
4,Buenavista,Belize Valley
5,Cahal Pech,Belize Valley
6,Calakmul,Belize Valley
7,Caracol,Belize Valley
8,Naranjo,Peten
9,Nim Li Punit,Southern Belize
10,Pacbitun,Belize Valley
11,Ucanal,Peten
12,Tikal,Peten
13,Xunantunich,Belize Valley
14,Yaxha,Peten
15,? ?? Ha',Unknown
16,?? Hu'nal,Unknown
17,??-nal,Unknown
18,Aguacatal,Unknown
19,Aguatal,Peten
20,Ahkul,Unknown
21,aj winte' naahnal,Unknown
22,Altun Ha,Northern Belize
23,Bahlam,Unknown
24,Balu'n,Unknown
25,Balu'n ??-nal,Unknown
26,Balu'n Pahn?,Unknown
27,Bital,Unknown
28,Bubul Pa',Unknown
29,Cha' Chih?,Unknown
30,Chak Ju'te',Unknown
31,Chan Le'm,Unknown
32,Chuwaajnal?,Unknown
33,Chuwaajnib,Unknown
34,Copan,Honduras
35,El Peru,Peten
36,El Zotz,Peten
37,Ho' ??,Unknown
38,ho' ?? witz,Unknown
39,Holmul,Peten
40,Huk Ihk' K'anal,Unknown
41,Hux K'awil,Unknown
42,Huxlaju'nte',Unknown
43,Ib,Unknown
44,Ich Puy,Unknown
45,Ix ??,Unknown
46,Ju'n K'ahk',Unknown
47,Ju'n Tobij?,Unknown
48,Jut',Unknown
49,Kab,Unknown
50,K'abte',Unknown
51,K'ahk' Witz,Unknown
52,K'an Tok,Unknown
53,K'an T'uul,Unknown
54,K'an/K'ahn Kab,Unknown
55,K'ante',Unknown
56,K'inichil Kab,Unknown
57,Koba',Unknown
58,Kok Cha',Unknown
59,Komkom,Unknown
60,Kuku',Unknown
61,Kuku'l,Unknown
62,Mahkaal,Unknown
63,Makalte',Unknown
64,Masuul,Unknown
65,Mayu',Unknown
66,Miin? K'an Naahb,Unknown
67,Mo' To'k',Unknown
68,Mook? Sak Lakal,Unknown
69,Naah Ho' Chan,Unknown
70,Nikte' Witznal,Unknown
71,Nu'n? Hixnal,Unknown
72,Och Ch'e'n?,Unknown
73,Palenque,Chiapas
74,Pek,Unknown
75,Sak ?? ,Unknown
76,Sak Ha',Unknown
77,Sak Kab,Unknown
78,Sak K'oob,Unknown
79,Sakte',Unknown
80,Sakte'l,Unknown
81,Small Snake,Unknown
82,Ti' Pa',Unknown
83,Ti' Tuun,Unknown
84,Ti'? Ha',Unknown
85,Topoxte,Peten
86,Tuubal,Unknown
87,Tuun Kab,Unknown
88,Tuunal,Unknown
89,Tzaatz?,Unknown
90,Tz'akte'naah,Unknown
91,Tzam,Unknown
92,Tz'obon Witzaj,Unknown
93,Unknown,Unknown
94,Wak ??-nal?,Unknown
95,Wak Chuweenal,Unknown
96,Wak Hixnal,Unknown
97,Wak Ihk' ??-nal,Unknown
98,Wa'l Ch'ak,Unknown
99,Waxak ??,Unknown
100,Winte' Naah,Unknown
101,Witzna,Peten
102,Xultun,Peten
103,Yax Chihil,Unknown
104,Yax Ik'al,Unknown
105,Yaxk'in ??,Unknown
106,Yobe'?,Unknown
107,Yok Man,Unknown
108,Yomootz,Unknown
109,Zero Moon Bird,Unknown
110,Balu'n ??? ,Unknown
